Title,Link,PublishedDate
Important observations from Microsoft at Mobile World Congress 2023,https://azure.microsoft.com/blog/important-observations-from-microsoft-at-mobile-world-congress-2023/,"Mon, 10 Apr 2023 08:00:06 Z"
Announcing Project Health Insights Preview: Advancing AI for health data,https://azure.microsoft.com/blog/announcing-project-health-insights-preview-advancing-ai-for-health-data/,"Wed, 12 Apr 2023 08:00:23 Z"
